ID;Name;Name in home country;Date of birth;Age;Height (m);Position;Foot;Player agent;Highest market value (Euro);Current value (Euro);Current club;Joined;Contract expires;Image
10;Alon Turgeman;אלון תורג'מן‎;Jun 9, 1991;30;1,78;Centre-Forward, Right Winger, Left Winger;right;Top Sport Services;1.00m;400Th.;Hapoel Haifa;Jan 19, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/177249-1600161583.png?lm=1
11;Aleksander Buksa;-;Jan 15, 2003;19;1,89;Centre-Forward, Second Striker;left;Gianluca Di Carlo;3.00m;1.50m;Genoa CFC;Jul 1, 2021;Jun 30, 2026;https://img.a.transfermarkt.technology/portrait/big/553757-1626163667.jpg?lm=1
12;Damian Pawlowski;Damian Pawłowski;Jan 27, 1999;23;1,85;Central Midfield, Defensive Midfield, Attacking Midfield;right;UNIDOS;300Th.;100Th.;Pogon Grodzisk Mazowiecki;Feb 4, 2022;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/320741-1548946279.png?lm=1
13;Lubomir Tupta;Ľubomír Tupta;Mar 27, 1998;23;1,81;Centre-Forward, Left Winger, Second Striker;right;CSM Agency;450Th.;450Th.;FC Slovan Liberec;Aug 17, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/344806-1625047160.jpg?lm=1
14;Marek Koziol;Marek Kozioł;Jun 1, 1988;33;1,99;Goalkeeper;right;box2box Football Agency;300Th.;100Th.;LKS Lodz;Jul 1, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/s_123220_168_2012_1.jpg?lm=1
15;Michael Gardawski;Michał Gardawski;Sep 25, 1990;31;1,77;Left Midfield, Right Midfield, Left-Back;right;CES;400Th.;250Th.;PAS Giannina;Jul 30, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/52791-1607014620.png?lm=1
16;Adnan Kovacevic;Adnan Kovačević;Sep 9, 1993;28;1,89;Centre-Back;both;as-11.com;1.20m;1.00m;Ferencvárosi TC;Aug 1, 2020;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/187669-1610918039.jpg?lm=1
17;Themistoklis Tzimopoulos;Θεμιστοκλής Τζημόπουλος;Nov 20, 1985;36;1,87;Centre-Back, Defensive Midfield;left;FAIR FOOTBALL AGENCY;900Th.;100Th.;APO Levadiakos;Feb 11, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/34204-1493711296.jpg?lm=1
18;Grzegorz Szymusik;-;Jun 4, 1998;23;1,82;Right-Back;right;ELITE GROUP;150Th.;150Th.;Korona Kielce;Aug 30, 2018;Jun 30, 2022;Placeholder
19;Petteri Forsell;Jani Petteri Forsell;Oct 16, 1990;31;1,70;Attacking Midfield, Centre-Forward, Left Winger;-;-;650Th.;350Th.;FC Inter Turku;Aug 11, 2021;Dec 31, 2022;https://img.a.transfermarkt.technology/portrait/big/73908-1550672070.png?lm=1
20;Jakub Zubrowski;Jakub Żubrowski;Mar 21, 1992;29;1,81;Defensive Midfield, Central Midfield;right;Profus Management;450Th.;250Th.;Zaglebie Lubin;Jul 22, 2020;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/283012-1562142823.png?lm=1
21;Daniel Szelagowski;Daniel Szelągowski;Sep 2, 2002;19;1,79;Left Winger, Centre-Forward, Right Winger;right;ProSport Manager;600Th.;600Th.;Warta Poznan;Jan 10, 2022;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/566350-1641127585.png?lm=1
22;Marcin Cebula;-;Dec 6, 1995;26;1,77;Attacking Midfield, Left Winger, Right Winger;both;INNfootball;1.50m;1.50m;Rakow Czestochowa;Aug 1, 2020;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/239215-1641127560.png?lm=1
23;Milan Radin;Милан Радин;Jun 25, 1991;30;1,73;Central Midfield, Defensive Midfield, Right-Back;both;Petar Bazic;850Th.;300Th.;Dinamo Batumi;Jan 1, 2022;-;https://img.a.transfermarkt.technology/portrait/big/169268-1635094453.png?lm=1
24;Jacek Kielb;Jacek Kiełb;Jan 10, 1988;34;1,83;Right Winger, Attacking Midfield, Left Winger;right;no agent;650Th.;100Th.;Korona Kielce;Feb 6, 2020;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/37110-1548862985.jpg?lm=1
25;Filip Kaczmarski;-;Feb 15, 2002;20;-;midfield;-;-;-;-;Korona Kielce U19;-;-;Placeholder
26;Wiktor Dlugosz;Wiktor Długosz;Jul 1, 2000;21;1,83;Right Midfield, Second Striker, Right Winger;right;ProSport Manager;500Th.;500Th.;Rakow Czestochowa;Feb 4, 2021;Jun 30, 2025;https://img.a.transfermarkt.technology/portrait/big/453156-1641127417.png?lm=1
27;Mateusz Spychala;Mateusz Spychała;Jan 28, 1998;24;1,71;Right-Back, Right Midfield, Left-Back;both;F-MG.com;250Th.;150Th.;Odra Opole;Jul 1, 2021;Jun 30, 2023;Placeholder
29;Grzegorz Bartczak;-;Jun 21, 1985;36;1,82;Centre-Back, Right-Back;right;no agent;850Th.;;Miedz Legnica II;-;-;https://img.a.transfermarkt.technology/portrait/big/29507-1550670889.png?lm=1
30;Bozo Musa;Božo Musa;Sep 15, 1988;33;1,90;Centre-Back, Right-Back, Defensive Midfield;right;5 PRO SPORT AGENCY;500Th.;50Th.;NK Siroki Brijeg;Feb 8, 2021;May 31, 2023;https://img.a.transfermarkt.technology/portrait/big/143008-1550670336.png?lm=1
31;Artur Pikk;-;Mar 5, 1993;28;1,80;Left-Back, Left Midfield;left;GlobalGroup11;400Th.;125Th.;FCI Levadia;Jan 3, 2022;Dec 31, 2022;https://img.a.transfermarkt.technology/portrait/big/133593-1550670571.png?lm=1
32;Piotr Zielinski;Piotr Sebastian Zieliński;May 20, 1994;27;1,80;Attacking Midfield, Central Midfield;both;BMG-SPORT;50.00m;50.00m;SSC Napoli;Aug 4, 2016;Jun 30, 2024;https://img.a.transfermarkt.technology/portrait/big/181136-1596002218.jpg?lm=1
33;Omar Santana;Omar Santana Cabrera;Apr 14, 1991;30;1,75;Attacking Midfield, Central Midfield, Left Winger;right;no agent;200Th.;175Th.;GS Kallithea;Jul 1, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/176249-1550672188.png?lm=1
34;Joan Román;Joan Ángel Román Ollé;May 18, 1993;28;1,75;Left Winger, Right Winger, Attacking Midfield;both;Miguel Pérez;1.00m;250Th.;Podbeskidzie Bielsko-Biala;Jul 22, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/121411-1550672295.png?lm=1
35;Rafal Augustyniak;Rafał Sylwester Augustyniak;Oct 14, 1993;28;1,85;Defensive Midfield, Centre-Back;right;INNfootball;1.80m;1.80m;Ural Yekaterinburg;Jul 1, 2019;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/264796-1599997517.png?lm=1
36;Juan Cámara;Juan del Carmen Cámara Mesa;Feb 13, 1994;28;1,84;Right Winger, Left Winger, Attacking Midfield;left;Footfeel & Echo Sports;700Th.;500Th.;Sabah FK;Jul 8, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/162039-1632060969.png?lm=1
37;Borja Fernández;Borja Fernández Fernández;Aug 16, 1995;26;1,78;Central Midfield;right;Media Base Sports;400Th.;300Th.;Algeciras CF;Aug 22, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/271988-1550671845.png?lm=1
38;Petteri Forsell;Jani Petteri Forsell;Oct 16, 1990;31;1,70;Attacking Midfield, Centre-Forward, Left Winger;-;-;650Th.;350Th.;FC Inter Turku;Aug 11, 2021;Dec 31, 2022;https://img.a.transfermarkt.technology/portrait/big/73908-1550672070.png?lm=1
39;Mateusz Szczepaniak;-;Jan 23, 1991;31;1,84;Centre-Forward, Right Winger;right;-;500Th.;;Retired;Jan 11, 2021;-;https://img.a.transfermarkt.technology/portrait/big/77315-1550672590.png?lm=1
40;Henrik Ojamaa;-;May 20, 1991;30;1,76;Left Winger, Left Midfield, Right Midfield;right;Trequartista Football Man.;700Th.;250Th.;FC Flora Tallinn;Jan 7, 2021;Dec 31, 2023;https://img.a.transfermarkt.technology/portrait/big/61666-1615743731.jpg?lm=1
41;Lukasz Gargula;Łukasz Garguła;Feb 25, 1981Happy Birthday;41;1,77;Central Midfield, Attacking Midfield, Defensive Midfield;right;Osuch Sport;2.40m;;Retired;Jul 1, 2021;-;https://img.a.transfermarkt.technology/portrait/big/32249-1550671967.png?lm=1
42;Jakub Slowik;Jakub Słowik;Aug 31, 1991;30;1,90;Goalkeeper;right;Proneo Sports S.L.;850Th.;850Th.;FC Tokyo;Jan 9, 2022;Jan 31, 2023;https://img.a.transfermarkt.technology/portrait/big/154530-1615022822.jpg?lm=1
43;Lukasz Broz;Łukasz Broź;Dec 17, 1985;36;1,80;Right-Back, Left-Back;right;-;900Th.;;Mamry Gizycko;Jul 11, 2021;-;https://img.a.transfermarkt.technology/portrait/big/42510-1580400158.png?lm=1
44;Wojciech Golla;-;Jan 12, 1992;30;1,86;Centre-Back, Defensive Midfield, Left-Back;right;Fabryka Futbolu;1.25m;500Th.;Slask Wroclaw;Jul 1, 2018;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/161314-1580399510.png?lm=1
45;Mariusz Pawelec;-;Apr 14, 1986;35;1,80;Centre-Back, Left-Back, Right-Back;left;-;625Th.;;Slask Wroclaw II;-;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/29818-1580399803.png?lm=1
46;Piotr Celeban;-;Jun 25, 1985;36;1,81;Centre-Back, Right-Back;right;SFG Agency;2.00m;;Slask Wroclaw II;Jul 1, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/29509-1580399606.png?lm=1
47;Mateusz Cholewiak;-;Feb 5, 1990;32;1,84;Left Winger, Left-Back, Left Midfield;left;box2box Football Agency;450Th.;250Th.;Górnik Zabrze;Jul 1, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/255519-1550667387.jpg?lm=1
48;Augusto;-;Aug 30, 1987;34;1,80;Left-Back, Left Midfield, Defensive Midfield;left;WSP Agency;500Th.;;Retired;Jul 1, 2019;-;https://img.a.transfermarkt.technology/portrait/big/168674-1550664104.jpg?lm=1
49;Krzysztof Maczynski;Krzysztof Mączyński;May 23, 1987;34;1,75;Central Midfield, Defensive Midfield;right;-;1.50m;200Th.;Slask Wroclaw;Jan 19, 2019;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/51337-1580400965.png?lm=1
50;Michal Chrapek;Michał Łukasz Chrapek;Apr 3, 1992;29;1,75;Central Midfield, Defensive Midfield, Attacking Midfield;right;-;1.20m;600Th.;Piast Gliwice;Oct 10, 2020;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/117683-1608736253.jpg?lm=1
51;Robert Pich;Róbert Pich;Nov 12, 1988;33;1,73;Attacking Midfield, Right Winger, Left Winger;-;-;500Th.;500Th.;Slask Wroclaw;Jan 12, 2017;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/109742-1580402065.png?lm=1
52;Marcin Robak;Marcin Andrzej Robak;Nov 29, 1982;39;1,84;Centre-Forward;right;-;1.10m;;Without Club;Jul 1, 2021;-;https://img.a.transfermarkt.technology/portrait/big/36727-1550667291.jpg?lm=1
53;Djordje Cotra;Ђopђe Чoтpa;Sep 13, 1984;37;1,84;Left-Back, Left Midfield;left;-;650Th.;;Retired;Jul 1, 2019;-;https://img.a.transfermarkt.technology/portrait/big/42433-1550666018.jpg?lm=1
54;Jakub Labojko;Jakub Jan Łabojko;Oct 3, 1997;24;1,79;Central Midfield, Defensive Midfield;right;KFM;650Th.;500Th.;AEK Larnaca;Jan 26, 2022;May 31, 2022;https://img.a.transfermarkt.technology/portrait/big/387529-1632545821.jpg?lm=1
55;Mateusz Radecki;-;Apr 2, 1993;28;1,87;Attacking Midfield, Central Midfield, Defensive Midfield;right;Profus Management;450Th.;450Th.;Radomiak Radom;Sep 22, 2020;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/264872-1580400556.png?lm=1
56;Krzysztof Kaminski;Krzysztof Kamiński;Nov 26, 1990;31;1,91;Goalkeeper;right;Seven United GmbH;950Th.;550Th.;Wisla Plock;Feb 6, 2020;Jun 30, 2024;https://img.a.transfermarkt.technology/portrait/big/172874-1523628493.jpg?lm=1
57;Alan Uryga;-;Feb 19, 1994;28;1,91;Centre-Back, Defensive Midfield;right;11-Football Players;1.00m;400Th.;Wisla Kraków;Jul 1, 2021;Jun 30, 2026;https://img.a.transfermarkt.technology/portrait/big/187945-1565354962.png?lm=1
58;Jakub Rzezniczak;Jakub Rzeźniczak;Oct 26, 1986;35;1,83;Centre-Back, Right-Back, Defensive Midfield;right;-;1.60m;200Th.;Wisla Plock;Jul 1, 2019;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/24576-1565705012.png?lm=1
59;Kristian Vallo;Kristián Vallo;Jun 2, 1998;23;1,86;Right-Back, Right Winger;right;IFManagement;600Th.;600Th.;Wisla Plock;Jul 1, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/389621-1581488278.png?lm=1
60;Ángel García;Ángel García Cabezali;Feb 3, 1993;29;1,85;Left-Back, Left Midfield, Left Winger;left;Footfeel & Echo Sports;400Th.;400Th.;AEK Larnaca;Jul 6, 2021;May 31, 2024;https://img.a.transfermarkt.technology/portrait/big/246278-1565606619.png?lm=1
61;Mateusz Szwoch;-;Mar 19, 1993;28;1,73;Attacking Midfield, Second Striker, Central Midfield;right;KFM;1.50m;1.00m;Wisla Plock;Jul 1, 2018;Jun 30, 2024;https://img.a.transfermarkt.technology/portrait/big/199302-1565706681.png?lm=1
62;Filip Lesniak;-;May 14, 1996;25;1,76;Defensive Midfield, Centre-Back;left;UFMG;700Th.;350Th.;Wisla Plock;Aug 1, 2020;Jun 30, 2022;Placeholder
63;Dawid Kocyla;Dawid Kocyła;Jul 23, 2002;19;1,80;Right Winger, Right Midfield;-;MS;1.00m;800Th.;Bruk-Bet Termalica Nieciecza;Jan 21, 2022;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/605780-1553618756.jpg?lm=1
64;Hubert Adamczyk;-;Feb 23, 1998;24;1,80;Attacking Midfield, Right Midfield, Left Midfield;right;KFM;250Th.;250Th.;Arka Gdynia;Jul 1, 2021;Jun 30, 2024;https://img.a.transfermarkt.technology/portrait/big/287235-1565704788.png?lm=1
65;Damian Rasak;-;Feb 8, 1996;26;1,84;Defensive Midfield, Central Midfield;right;11-Football Players;500Th.;500Th.;Wisla Plock;Jul 1, 2017;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/255910-1565700953.png?lm=1
66;Patryk Tuszynski;Patryk Tuszyński;Dec 13, 1989;32;1,84;Centre-Forward, Second Striker, Left Winger;right;Profus Management;1.20m;200Th.;Wisla Plock;Aug 11, 2020;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/110856-1573681314.jpg?lm=1
67;Mateusz Lewandowski;-;Mar 18, 1993;28;1,84;Defensive Midfield, Central Midfield, Left-Back;left;Relatives;500Th.;;Wisla Plock II;Feb 10, 2021;-;https://img.a.transfermarkt.technology/portrait/big/173339-1548165173.png?lm=1
68;Dusan Lagator;Душан Лагатор;Mar 29, 1994;27;1,90;Centre-Back, Defensive Midfield, Central Midfield;right;F&L;700Th.;500Th.;Wisla Plock;Aug 11, 2020;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/246831-1570523256.png?lm=1
69;Piotr Tomasik;-;Oct 31, 1987;34;1,77;Left-Back, Left Midfield;left;-;450Th.;200Th.;Wisla Plock;Jul 1, 2019;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/84918-1565707693.png?lm=1
70;Luka Susnjara;Luka Šušnjara;Apr 4, 1997;24;1,88;Left Winger, Right Winger, Centre-Forward;left;Polish Sports Group;500Th.;300Th.;FC Koper;Jan 1, 2022;Dec 31, 2023;https://img.a.transfermarkt.technology/portrait/big/334724-1519111866.png?lm=1
71;Frantisek Plach;František Plach;Mar 8, 1992;29;1,92;Goalkeeper;left;-;900Th.;900Th.;Piast Gliwice;Jan 10, 2018;Dec 31, 2022;https://img.a.transfermarkt.technology/portrait/big/404345-1608734986.jpg?lm=1
72;Bartosz Rymaniak;-;Nov 13, 1989;32;1,90;Right-Back, Centre-Back;right;FootballGoal.eu;500Th.;100Th.;Gornik Leczna;Jul 14, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/81257-1608735777.jpg?lm=1
73;Tomas Huk;Tomáš Huk;Dec 22, 1994;27;1,84;Centre-Back, Defensive Midfield;right;JM Management,s.r.o.;600Th.;600Th.;Piast Gliwice;Jul 1, 2019;Jun 30, 2025;https://img.a.transfermarkt.technology/portrait/big/181612-1608735498.jpg?lm=1
74;Jakub Czerwinski;Jakub Czerwiński;Aug 6, 1991;30;1,83;Centre-Back;both;box2box Football Agency;850Th.;600Th.;Piast Gliwice;Jul 1, 2018;Jun 30, 2024;https://img.a.transfermarkt.technology/portrait/big/143282-1608735446.jpg?lm=1
75;Martin Konczkowski;-;Sep 14, 1993;28;1,81;Right-Back, Right Midfield, Right Winger;right;box2box Football Agency;700Th.;600Th.;Piast Gliwice;Jul 1, 2017;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/258799-1608735701.jpg?lm=1
76;Gerard Badía;Gerard Badía Cortés;Oct 18, 1989;32;1,74;Left Winger, Attacking Midfield, Right Winger;left;Profus Management;500Th.;350Th.;FC Ascó;Jul 14, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/95430-1608736566.jpg?lm=1
77;Michal Chrapek;Michał Łukasz Chrapek;Apr 3, 1992;29;1,75;Central Midfield, Defensive Midfield, Attacking Midfield;right;-;1.20m;600Th.;Piast Gliwice;Oct 10, 2020;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/117683-1608736253.jpg?lm=1
78;Tomasz Jodlowiec;Tomasz Jodłowiec;Sep 8, 1985;36;1,89;Defensive Midfield, Centre-Back, Central Midfield;right;Relatives;1.90m;50Th.;Piast Gliwice;Sep 2, 2019;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/27261-1608736016.jpg?lm=1
79;Arkadiusz Pyrka;-;Sep 20, 2002;19;1,77;Right Winger, Left Winger, Right Midfield;-;Profus Management;1.00m;1.00m;Piast Gliwice;Aug 4, 2020;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/599733-1608736650.jpg?lm=1
80;Patryk Sokolowski;Patryk Sokołowski;Sep 25, 1994;27;1,82;Defensive Midfield, Central Midfield;-;FBG;800Th.;800Th.;Legia Warszawa;Jan 6, 2022;Dec 31, 2023;https://img.a.transfermarkt.technology/portrait/big/284871-1608735918.jpg?lm=1
81;Jakub Swierczok;Jakub Świerczok;Dec 28, 1992;29;1,84;Centre-Forward, Attacking Midfield, Second Striker;right;KFM;3.00m;2.70m;Nagoya Grampus;Jul 20, 2021;Jan 31, 2024;https://img.a.transfermarkt.technology/portrait/big/193554-1608736728.jpg?lm=1
82;Patryk Lipski;-;Jun 12, 1994;27;1,86;Attacking Midfield, Central Midfield;right;no agent;850Th.;500Th.;Piast Gliwice;Aug 3, 2020;Dec 31, 2022;https://img.a.transfermarkt.technology/portrait/big/255392-1608736439.jpg?lm=1
83;Kristopher Vida;Krisztófer András Vida;Jun 23, 1995;26;1,77;Left Winger, Right Winger, Attacking Midfield;right;PANNA;700Th.;500Th.;Piast Gliwice;Feb 26, 2020;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/164837-1608736499.jpg?lm=1
84;Michal Zyro;Michał Żyro;Sep 20, 1992;29;1,89;Centre-Forward, Left Winger, Right Winger;left;box2box Football Agency;2.50m;300Th.;Jagiellonia Bialystok;Aug 30, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/67431-1608736789.jpg?lm=1
85;Dominik Steczyk;-;May 4, 1999;22;1,85;Right Winger, Left Winger, Centre-Forward;right;FSB – Spielerberatung GmbH;500Th.;250Th.;Stal Mielec;Feb 23, 2022;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/344415-1608736836.jpg?lm=1
86;Radoslaw Majecki;Radosław Majecki;Nov 16, 1999;22;1,93;Goalkeeper;right;box2box Football Agency;5.00m;3.00m;AS Monaco;Jan 29, 2020;Jun 30, 2024;https://img.a.transfermarkt.technology/portrait/big/346546-1614089810.jpg?lm=1
87;Michal Karbownik;Michał Karbownik;Mar 13, 2001;20;1,75;Right-Back, Defensive Midfield, Left-Back;right;UNIDOS;6.00m;3.50m;Olympiacos Piraeus;Aug 28, 2021;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/401604-1579010679.jpg?lm=1
88;Artur Jedrzejczyk;Artur Jędrzejczyk;Nov 4, 1987;34;1,89;Centre-Back, Right-Back, Left-Back;right;UNIDOS;4.50m;250Th.;Legia Warszawa;Jan 4, 2017;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/42401-1464955977.jpg?lm=1
89;Mateusz Wieteska;-;Feb 11, 1997;25;1,87;Centre-Back, Defensive Midfield, Right-Back;right;Fabryka Futbolu;2.00m;1.00m;Legia Warszawa;Jul 1, 2018;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/208172-1517387038.jpg?lm=1
90;Igor Lewczuk;-;May 30, 1985;36;1,89;Centre-Back, Right-Back, Left-Back;right;PROACTIVE SPORT MANAGEMENT;1.00m;;Znicz Pruszkow;Jul 5, 2021;-;https://img.a.transfermarkt.technology/portrait/big/63265-1448377268.jpg?lm=1
91;Luquinhas;-;Sep 28, 1996;25;1,69;Attacking Midfield, Left Winger, Right Winger;right;NEWROFOOT LDA;3.50m;3.00m;New York Red Bulls;Feb 16, 2022;Dec 31, 2024;https://img.a.transfermarkt.technology/portrait/big/402825-1550569575.jpg?lm=1
92;Domagoj Antolic;Domagoj Antolić;Jun 30, 1990;31;1,80;Central Midfield, Attacking Midfield, Defensive Midfield;right;CAA Base Ltd;2.50m;950Th.;Damac FC;Jan 1, 2022;-;https://img.a.transfermarkt.technology/portrait/big/48810-1515069067.jpg?lm=1
93;André Martins;André Renato Soares Martins;Jan 21, 1990;32;1,69;Central Midfield, Attacking Midfield, Defensive Midfield;right;Proeleven Gestão Desportiva;7.00m;700Th.;Hapoel Beer Sheva;Jan 13, 2022;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/90367-1445432995.jpg?lm=1
94;Pawel Wszolek;Paweł Marek Wszołek;Apr 30, 1992;29;1,86;Right Midfield, Right-Back, Right Winger;right;KFM;2.50m;1.00m;Legia Warszawa;Jan 27, 2022;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/164759-1523627448.jpg?lm=1
95;Arvydas Novikovas;-;Dec 18, 1990;31;1,76;Left Winger, Right Winger, Second Striker;left;UNIDOS;1.50m;650Th.;Büyüksehir Belediye Erzurumspor;Aug 24, 2020;Jun 30, 2022;https://img.a.transfermarkt.technology/portrait/big/87444-1603983572.png?lm=1
96;José Kanté;José Kanté Martínez;Sep 27, 1990;31;1,84;Centre-Forward, Left Winger, Right Winger;right;JGS;1.50m;1.50m;Kairat Almaty;Mar 10, 2021;Dec 31, 2022;https://img.a.transfermarkt.technology/portrait/big/247276-1617206121.png?lm=1
97;Mateusz Praszelik;Mateusz Jakub Praszelik;Sep 26, 2000;21;1,84;Attacking Midfield, Central Midfield;right;-;1.50m;1.50m;Hellas Verona;Jan 29, 2022;Jan 31, 2023;https://img.a.transfermarkt.technology/portrait/big/374418-1643724641.jpg?lm=1
98;Valeriane Gvilia;ვალერიან გვილია;May 24, 1994;27;1,82;Central Midfield, Attacking Midfield, Defensive Midfield;right;-;2.50m;900Th.;Rakow Czestochowa;Aug 31, 2021;Jun 30, 2023;https://img.a.transfermarkt.technology/portrait/big/335191-1641127129.png?lm=1
99;Jaroslaw Niezgoda;Jarosław Niezgoda;Mar 15, 1995;26;1,85;Centre-Forward, Second Striker;both;-;4.50m;3.50m;Portland Timbers;Jan 30, 2020;Dec 31, 2023;https://img.a.transfermarkt.technology/portrait/big/269446-1618763083.JPG?lm=1
